time,avg,stdev,min,max
1,7297.182,1591.004,5527.948,8931.006
2,6933.760,1476.189,5285.824,8563.766
3,7648.990,1298.999,6163.061,8896.606
4,7890.645,1060.458,6573.847,8869.274
5,8011.477,860.998,7052.610,8854.949
6,7823.256,929.043,6711.968,8796.470
7,8178.300,750.572,7367.888,8782.459
8,8528.725,702.947,7585.963,9149.139
9,8647.006,624.928,7871.925,9135.100
10,8448.066,581.120,7645.135,8837.591
11,8367.345,588.889,7646.337,8774.343
12,8555.907,693.575,7689.887,9121.775
13,8702.516,644.895,7922.724,9194.181
14,8654.536,689.675,7902.448,9094.980
15,8606.220,664.440,7855.739,9086.466
16,8682.854,689.469,7858.460,9309.418
17,8738.016,655.591,7940.982,9306.800
18,8695.647,612.736,7928.707,9181.466
19,8626.705,595.596,7883.089,8988.180
20,8645.608,583.094,7962.416,8987.039
21,8639.302,531.909,8053.022,8912.018
22,8621.954,583.560,7968.594,8916.989
23,8611.030,576.939,7889.762,8904.747
24,8621.385,534.743,7943.575,8925.363
25,8584.569,581.621,7831.391,8905.459
26,8605.966,584.750,8005.285,8902.356
27,8599.750,563.107,7843.013,8932.072
28,8608.080,547.731,7987.935,8901.839
29,8581.926,588.371,7827.301,8907.360
30,8607.280,558.360,8001.791,8910.375
31,8613.013,568.081,7981.753,8887.180
32,8611.696,570.590,7930.898,8906.056
33,8606.558,552.903,7904.648,8906.445
34,8626.060,525.176,7980.772,8910.823
35,8574.593,623.875,7916.262,8910.415
36,8616.417,518.907,7963.521,8910.958
37,8596.469,575.017,7948.886,8908.001
38,8575.898,590.281,7894.188,8903.558
39,8594.880,574.418,7848.115,8924.864
40,8572.950,602.545,7878.721,8935.055
41,8582.448,581.504,7914.573,8922.436
42,8594.480,580.772,7903.787,8918.570
43,8572.028,575.029,7864.009,8925.851
44,8563.113,613.516,7768.950,8915.029
45,8574.194,571.779,7867.523,8895.238
46,8533.424,619.440,7777.787,8889.311
47,8537.345,630.214,7807.055,8896.097
48,8584.830,565.109,8023.403,8899.720
49,8585.442,579.297,7879.680,8920.457
50,8564.384,628.285,7949.637,8914.552
51,8569.070,549.078,7783.511,8919.488
52,8565.757,573.500,7886.287,8892.572
53,8585.656,598.273,7897.935,8918.194
54,8571.230,594.971,7882.573,8900.626
55,8565.686,582.740,7857.131,8897.973
56,8603.858,541.245,7897.068,8914.936
57,8549.116,619.047,7819.096,8902.218
58,8596.740,529.634,8012.824,8901.393
59,8573.337,560.000,7916.695,8899.714
60,8562.335,613.151,7901.298,8936.569
61,8578.719,573.349,7919.512,8892.853
62,8565.370,612.171,7866.090,8903.947
63,8592.415,554.791,7953.977,8889.565
64,8554.530,618.779,7851.386,8906.150
65,8538.945,619.782,7829.954,8888.812
66,8591.753,584.850,7943.693,8917.949
67,8539.448,608.459,7766.312,8891.542
68,8602.922,531.850,7935.937,8907.613
69,8558.899,582.908,7851.868,8898.749
70,8567.813,583.298,7905.550,8913.214
71,8544.105,586.140,7829.230,8895.595
72,8595.235,546.804,7925.456,8903.160
73,8555.680,582.087,7822.188,8883.723
74,8567.585,577.231,7870.975,8910.252
75,8582.764,568.807,7945.079,8905.133
76,8515.432,638.629,7679.592,8915.658
77,8597.365,593.037,8005.689,8902.931
78,8598.703,547.960,8016.345,8910.470
79,8595.103,520.783,7913.635,8899.859
80,8538.647,583.516,7791.159,8894.205
81,8586.574,551.319,7905.290,8921.346
82,8579.336,588.660,7873.432,8934.965
83,8591.762,551.123,7994.616,8908.552
84,8572.283,549.175,7917.158,8890.962
85,8575.449,588.636,7856.206,8897.652
86,8575.602,539.888,7899.612,8889.329
87,8513.464,650.789,7749.996,8897.633
88,8600.159,594.483,8014.136,8920.429
89,8582.650,535.074,7946.692,8901.090
90,8600.256,517.926,7962.797,8906.036
91,8571.981,591.567,7888.265,8920.983
92,8589.895,568.784,7961.120,8904.201
93,8590.286,563.796,8015.187,8914.038
94,8585.487,583.975,7893.302,8916.782
95,8545.195,625.270,7824.723,8911.182
96,8586.241,535.706,7893.171,8901.872
97,8536.388,618.707,7806.040,8892.406
98,8542.446,565.772,7719.454,8895.752
99,8579.017,583.416,7881.286,8919.651
100,8577.309,568.609,7994.901,8893.454
